,designation,ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,Sel1,Sel2,Sel3,Sel4,Sel5,w1-w2,H-K,J-H
613,J184134.36+080820.5,280.3931879,8.1390447,0.0294,0.0286,-0.0015,39.0823829,5.8813986,282.0438904,31.1448339,2786.062,3532.262,7.238,0.029,38.1,3.13,6.304,0.026,42.3,2.23,3.818,0.015,74.5,2.03,1.675,0.017,65.6,1.34,2.26,1,0,0.166,0.051,0.0,0.0,5700,280.3931914,8.1390428,0.0311,0.036,-0.0132,75.0,34.0,-35.0,36.0,3.15,2.21,2.05,1.33,2.26,1N000,hh00,1,110,AAAA,15,11,29,29,29,29,16,16,16,16,26.21,27.312,15.856,15.659,965931194.0,0.157,-7.7,1,12.386,0.049,10.8,0.043,9.137,0.027,1.884285714,1.702,6.2795,9.782,0.186,0.9340000000000002,1.6630000000000003,3.2489999999999988
1113,J184137.11+080008.0,280.4046498,8.0022333,0.1119,0.1198,-0.0184,38.9645751,5.8099042,282.043703,31.0075527,2756.595,3174.06,15.014,0.051,21.3,1.71,14.598,0.068,15.9,1.24,11.51,0.196,5.5,0.882,8.768,0.385,2.8,0.937,1.28,3,0,0.0,0.0,0.0,0.0,0,280.4046324,8.002254,0.1487,0.158,-0.03,-299.0,306.0,361.0,335.0,1.71,1.23,0.882,0.937,1.28,2N000,ddOd,0,10nn,AABC,15,11,28,30,24,30,2,16,1,16,29.751,30.336,15.979,15.792,965930125.0,1.21,56.3,1,16.218,0.12,15.528,0.13,15.221,0.198,0.901285714,0.052,-1.1945,-2.3774,0.788,0.4159999999999986,0.3070000000000004,0.9969999999999999
1634,J184143.63+081136.3,280.4318295,8.1934366,0.0324,0.0315,-0.0047,39.1484979,5.871593,282.093777,31.1958197,2685.824,3674.601,6.781,0.07,15.4,0.427,6.203,0.034,31.7,0.944,4.777,0.014,75.8,1.88,3.496,0.023,46.4,0.901,0.732,1,0,0.114,0.053,0.0,0.0,3700,280.4318238,8.1934601,0.0326,0.0314,0.0202,190.0,36.0,-2.0,35.0,0.438,0.85,1.89,0.87,0.698,1N009,000d,0,100,AAAA,15,11,29,29,29,29,14,14,15,15,20.59,26.247,15.902,16.43,965990707.0,0.281,-56.2,1,8.412,0.024,7.372,0.042,6.804,0.021,1.344828571,1.9259,6.594,6.3794,-0.874,0.5779999999999994,0.5679999999999996,1.6080000000000005
1824,J184144.34+080216.5,280.4347718,8.0379396,0.0336,0.0271,-0.0129,39.0101003,5.7992612,282.0818844,31.040629,2678.444,3267.496,5.379,0.139,7.8,0.134,4.606,0.075,14.5,0.388,2.919,0.01,107.1,2.97,1.909,0.018,60.6,0.938,0.493,1,0,0.21,0.202,0.084,0.0,2350,280.4347564,8.0379433,0.028,0.0265,0.0005,-728.0,47.0,148.0,44.0,0.144,0.386,2.53,0.947,0.463,1N001,0,0,100,BAAA,15,11,27,27,27,27,13,13,13,13,9.145,9.216,13.794,16.151,965991899.0,0.2,135.6,1,8.894,0.023,7.342,0.033,6.551,0.02,0.552214286,0.7621,9.4205,9.1824,-0.613,0.7729999999999997,0.7909999999999995,2.343
2482,J184142.27+080600.3,280.4261605,8.1000956,0.0372,0.0359,0.004,39.0620987,5.8347577,282.0780668,31.1032818,2700.667,3430.239,11.207,0.023,47.0,1.65,10.635,0.021,51.7,1.39,9.159,0.033,32.7,1.15,7.497,0.145,7.5,0.875,1.35,1,0,0.0,0.0,0.0,0.0,0,280.4261594,8.1000946,0.0356,0.0362,-0.0252,-43.0,40.0,-34.0,38.0,1.65,1.39,1.15,0.875,1.35,3N000,0h00,0,5400,AAAB,15,11,30,30,30,30,15,15,7,15,30.498,30.748,15.947,15.801,965991436.0,0.079,-11.8,1,13.011,0.023,12.17,0.021,11.653,0.023,4.639714286,3.479,1.9385,-1.3752,-0.824,0.572000000000001,0.5169999999999995,1.3579999999999988
2527,J184133.69+080743.2,280.3903964,8.128681,0.0377,0.037,0.0056,39.0718246,5.8792223,282.039658,31.1347383,2793.316,3505.135,10.758,0.024,46.1,1.96,10.333,0.021,51.1,1.56,9.142,0.033,33.3,1.25,6.887,0.083,13.2,7.93,2.73,1,0,0.0,0.0,0.0,0.0,0,280.3903842,8.1286871,0.0551,0.0803,-0.0238,-105.0,52.0,-7.0,74.0,1.95,1.5,1.24,7.92,2.71,1N004,hhhH,1,100n,AAAA,15,11,28,28,28,28,15,15,14,15,29.025,28.83,14.99,15.855,965931119.0,0.094,1.3,1,13.102,0.026,12.137,0.024,11.58,0.027,4.193142857,3.252,1.9165,-7.286,-1.109,0.42499999999999893,0.5570000000000004,1.5220000000000002
