designation,ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,Sel1,Sel2,Sel3,Sel4,Sel5
J184125.13+080621.8,280.3547146,8.1060801,0.0495,0.0498,-0.0048,39.0355942,5.900665,281.9963292,31.115172,2885.845,3446.029,13.314,0.025,43.8,3.43E+00,13.548,0.03,35.6,1.35E+00,11.911,0.286,3.8,9.53E-01,8.731,0.386,2.8,1.03E+00,1.91E+00,1,0,0,0,0,0,0,280.3547144,8.1060839,0.0655,0.0618,0.0025,3,98,138,98,3.42E+00,1.35E+00,9.53E-01,1.03E+00,1.91E+00,3N000,0h00,1,10nn,AABC,15,11,29,29,29,29,1,15,0,15,29.892,30.434,16.433,16.513,965930941,0.511,49.1,1,14.656,0.049,13.792,0.037,13.585,0.061,2.399571429,1.91,-1.4778,-2.474,-0.663
J184054.15+080306.2,280.2256622,8.051742,0.0819,0.0872,-0.0125,38.9291735,5.9905224,281.8423694,31.0716236,3220.501,3304.066,14.029,0.037,29.7,1.66E+00,14.258,0.051,21.3,1.05E+00,12.087,null,0.9,8.16E-01,8.991,null,0.3,1.03E+00,1.20E+00,1,0,0,0,0,0,0,280.2256573,8.0517411,0.0906,0.095,-0.013,-137,138,-17,149,1.66E+00,1.04E+00,8.16E-01,1.03E+00,1.20E+00,1N000,0,0,21nn,AAUU,3,11,29,29,29,29,0,16,0,16,29.326,30.402,15.996,16.107,1059002374,0.241,26.2,1,14.586,0.029,14.111,0.056,14.033,0.052,2.150285714,0.785,-1.7038,-2.969,-0.129
J184103.87+080333.0,280.2661532,8.0591922,0.0945,0.0984,0.0107,38.9539382,5.9580234,281.8897362,31.0757364,3115.517,3323.467,14.019,0.043,25.1,2.52E+00,14.075,0.049,22.2,1.04E+00,12.534,0.474,2.3,8.38E-01,9.164,null,-0.1,9.02E-01,1.46E+00,1,0,0,0,0,0,0,280.2661431,8.0591808,0.1001,0.1083,-0.016,-299,149,-323,162,2.51E+00,1.04E+00,8.38E-01,9.02E-01,1.46E+00,1N000,0,0,10nn,AACU,7,11,28,28,28,28,0,15,0,15,29.289,29.637,15.961,15.276,1059002439,1.488,-151.8,2,15.137,0.057,14.622,0.081,14.482,0.092,0.634142857,0.885,-1.5505,-2.9224,-0.759
J184114.59+081146.2,280.3108187,8.1961766,0.0666,0.068,-0.0064,39.0969869,5.9798912,281.9545053,31.2085778,2999.407,3681.996,14.369,0.028,38.2,3.73E+00,14.562,0.049,22.1,1.26E+00,12.365,null,-1,8.79E-01,9.006,null,-0.3,9.39E-01,2.07E+00,2,0,0,0,0,0,0,280.3107445,8.1961923,0.0689,0.0702,-0.0079,303,160,119,163,3.70E+00,1.25E+00,8.78E-01,9.39E-01,2.05E+00,2Y030,0,1,31nn,AAUU,3,11,29,29,27,29,0,13,0,14,31.224,31.261,16.581,16.697,965931607,1.514,140.3,1,15.502,0.099,14.978,0.127,14.744,0.134,1.296571429,0.655,-2.0039,-2.9988,-0.103
J184052.48+080330.0,280.2186813,8.0583419,0.042,0.0404,-0.0011,38.9319908,5.9996594,281.8349618,31.0787707,3238.579,3321.364,11.397,0.023,46.5,3.46E+00,11.523,0.023,48.1,1.51E+00,11.589,0.202,5.4,9.67E-01,8.779,null,1,1.02E+00,1.95E+00,1,0,0,0,0,0,0,280.2186812,8.0583438,0.0447,0.0418,-0.0059,6,46,83,45,3.44E+00,1.52E+00,9.67E-01,1.02E+00,1.95E+00,1N000,0,1,11nn,AABU,7,11,29,29,29,29,5,16,0,16,28.629,28.716,15.995,15.87,1059002434,0.18,128.2,1,12.569,0.024,11.685,0.025,11.526,0.023,2.754285714,3.005,-1.2918,-2.82,-2.366
J184123.62+081248.3,280.3484515,8.2134303,0.0605,0.0645,-0.0394,39.1292781,5.9543252,281.9995892,31.2226649,2901.849,3727.088,12.097,0.035,31.2,2.11E+00,12.186,0.036,30.2,1.19E+00,11.905,null,1.3,9.44E-01,8.619,null,-0.3,9.93E-01,1.42E+00,2,1,0,0,0,0,0,280.3485852,8.2133086,0.0477,0.0451,-0.0193,-130,52,236,51,3.77E+00,1.46E+00,9.49E-01,9.94E-01,2.05E+00,1N067,0,0,nnnn,AAUU,3,11,31,31,31,31,0,16,0,16,30.626,31.046,16.078,16.023,965931757,0.615,-20.9,2,13.392,0.071,12.293,null,12.156,null,1.919571429,1.527,-1.7819,-3.053,-2.019
J184119.44+080810.7,280.3310319,8.1363133,0.0443,0.0437,-0.0029,39.052198,5.9351754,281.9719818,31.1472559,2947.162,3525.229,11.971,0.024,44.5,4.86E+00,12.028,0.024,45.2,1.97E+00,11.575,0.196,5.5,9.11E-01,8.55,null,1.1,8.98E-01,2.50E+00,1,0,0,0,0,0,0,280.3310317,8.1363197,0.0506,0.0501,-0.0144,-50,54,160,55,4.82E+00,1.98E+00,9.11E-01,8.98E-01,2.49E+00,1N001,hh00,1,00nn,AABU,7,11,30,30,30,30,1,17,0,17,29.551,29.739,16.981,16.797,965931172,0.461,57.5,1,12.648,0.032,12.318,0.032,12.201,0.026,1.066571429,2.253,-1.2238,-2.678,-1.847
J184143.92+080836.1,280.4330239,8.1433754,0.0754,0.0795,-0.0176,39.104048,5.8480915,282.0902286,31.1458366,2682.809,3543.537,13.564,0.036,30.5,1.01E+00,13.588,0.044,24.9,1.05E+00,12.722,null,-0.7,9.87E-01,9.192,null,-2.1,1.10E+00,1.03E+00,1,0,0,0,0,0,0,280.4330211,8.1433885,0.0773,0.0816,-0.0185,-115,102,411,111,9.92E-01,1.06E+00,9.87E-01,1.10E+00,1.03E+00,2N001,0hd0,0,00nn,AAUU,3,11,29,29,29,29,0,15,0,15,29.541,29.504,15.971,15.901,965991102,0.079,-80.6,1,14.426,0.032,13.888,0.028,13.561,0.046,2.916571429,1.136,-2.0743,-3.515,-1.434
J184052.09+080513.4,280.2170751,8.087067,0.4659,0.6065,0.2689,38.9570948,6.0139546,281.8358751,31.1075292,3242.657,3396.573,15.581,0.187,5.8,1.17E+00,16.4,null,0.3,1.23E+00,11.825,null,1.5,9.93E-01,9.192,null,-1,1.03E+00,1.13E+00,1,0,0,0,0,0,0,280.2169923,8.0870454,0.7338,0.4912,-0.405,-1504,1174,-426,755,1.16E+00,1.23E+00,9.93E-01,1.03E+00,1.13E+00,1N001,0H00,0,1nnn,BUUU,1,11,14,30,0,30,0,16,0,16,29.522,29.574,15.947,15.946,null,null,null,0,null,null,null,null,null,null,-0.767,-1.503,-1.8056,-3.233,2.275
J184132.64+080433.0,280.3860327,8.0758457,0.1185,0.123,-0.0205,39.0224019,5.8593939,282.0294604,31.0824507,2804.725,3366.815,14.773,0.049,22.1,1.10E+00,14.863,0.091,12,8.76E-01,11.849,null,1.9,9.04E-01,8.808,0.405,2.7,9.19E-01,9.58E-01,2,0,0,0,0,0,0,280.3860493,8.0758563,0.1642,0.1645,0.022,351,304,218,319,1.10E+00,8.75E-01,9.04E-01,9.19E-01,9.57E-01,3N000,0d00,0,10nn,AAUC,11,11,28,28,21,28,0,15,1,15,28.416,28.78,15.927,15.854,965930709,0.521,166.4,1,15.376,0.067,14.842,0.062,14.805,0.136,1.628571429,0.0238,-1.6665,-2.3793,0.714
J184122.61+081018.6,280.3442432,8.1718554,0.1169,0.1227,-0.0244,39.0900345,5.9394157,281.9906768,31.1815832,2912.844,3618.252,14.844,0.047,23.2,3.16E+00,14.941,0.086,12.6,1.57E+00,12.523,null,-0.9,9.14E-01,8.985,null,-1,1.01E+00,1.88E+00,1,0,0,0,0,0,0,280.3442344,8.1717961,0.1472,0.147,-0.0235,-195,282,-1320,297,3.15E+00,1.56E+00,9.15E-01,1.01E+00,1.87E+00,1N000,hh0D,1,31nn,AAUU,3,11,27,29,15,29,1,16,0,16,30.706,30.703,16.917,16.805,965931430,0.238,6.7,1,16.073,0.113,15.351,0.108,15.163,0.195,-0.278285714,-0.614,-2.0267,-3.208,0.118
J184134.81+081037.8,280.3950533,8.1771667,0.4014,0.4654,-0.0798,39.1174724,5.8968382,282.0497772,31.1826667,2781.157,3632.064,17.464,null,0.9,1.12E+00,17.15,null,-7.8,1.34E+00,11.711,0.203,5.3,9.27E-01,8.791,null,1.3,1.02E+00,1.14E+00,1,0,0,0,0,0,0,280.3953251,8.1772959,0.5235,0.6049,-0.0774,6522,1541,2126,1777,1.12E+00,1.41E+00,9.29E-01,1.02E+00,1.16E+00,3N015,0,0,nnnn,UUBU,4,11,1,29,0,29,1,16,0,16,28.764,28.728,15.94,15.949,null,null,null,0,null,null,null,null,null,null,-1.422,-2.421,-1.2644,-2.763,3.139
J184046.70+080847.1,280.1945951,8.1464423,0.0539,0.0526,-0.0083,39.0004442,6.0604553,281.8156747,31.1685354,3300.742,3552.084,13.548,0.026,41.4,2.30E+00,13.614,0.031,35.3,1.18E+00,12.12,0.323,3.4,9.06E-01,9.018,null,-0.1,7.84E-01,1.42E+00,1,0,0,0,0,0,0,280.194601,8.146451,0.0627,0.0579,-0.01,174,100,239,101,2.27E+00,1.19E+00,9.06E-01,7.84E-01,1.42E+00,1N000,hh00,0,10nn,AABU,7,11,30,30,30,30,1,16,0,16,29.625,29.653,15.913,15.732,1059003176,0.28,148.6,1,14.052,0.027,13.631,0.03,13.601,0.051,3.188714286,2.05,-1.4806,-2.8038,-0.806
J184035.95+080853.7,280.1498225,8.1482745,0.1416,0.1431,-0.0315,38.9821241,6.1009006,281.7642261,31.1740003,3416.771,3557.016,15.421,0.053,20.6,1.93E+00,15.686,0.134,8.1,1.07E+00,12.357,null,0.2,7.62E-01,8.848,null,0.2,8.50E-01,1.25E+00,1,0,0,0.002,0,0,900,280.1497839,8.1482841,0.1959,0.1854,-0.0425,-779,446,191,442,1.92E+00,1.06E+00,7.62E-01,8.50E-01,1.25E+00,1N000,0,0,1nnn,ABUU,3,11,25,28,3,28,0,15,0,15,27.475,27.485,14.93,14.817,508013218,0.769,13.8,1,15.892,0.076,15.487,0.118,15.417,0.176,0.589285714,-0.557,-1.7367,-2.8096,1.029
J184031.67+081348.1,280.1319866,8.2300311,0.0669,0.0731,-0.0108,39.0476898,6.1533021,281.7514815,31.256928,3462.704,3771.114,14.424,0.033,33.1,7.01E+00,13.955,0.037,29.7,4.61E+00,11.612,0.224,4.8,1.20E+00,9.045,null,-0.3,1.54E+00,4.48E+00,2,0,0,0,0,0,0,280.1321005,8.2299812,0.0733,0.0796,-0.0074,31,128,-1632,139,6.96E+00,4.62E+00,1.20E+00,1.54E+00,4.47E+00,2Y042,hHHD,1,9nnn,AABU,7,11,29,29,22,29,3,14,0,15,28.576,28.741,14.878,14.755,508012489,1.236,137.5,1,15.59,0.063,14.989,0.079,15.143,0.148,-2.707,-1.938,-1.597,-3.6,0.043
J184040.86+075847.4,280.1702841,7.9798539,0.0428,0.0413,0.0033,38.8398428,6.0073208,281.7716895,31.004486,3364.29,3116.014,11.528,0.024,45.6,1.47E+00,11.653,0.024,46,1.10E+00,11.383,0.181,6,8.76E-01,9.036,null,0.1,8.85E-01,1.14E+00,1,0,0,0,0,0,0,280.1702826,7.9798568,0.0434,0.0428,0.0043,-50,45,98,46,1.45E+00,1.12E+00,8.76E-01,8.85E-01,1.13E+00,1N000,0,0,11nn,AABU,7,11,30,30,30,30,2,17,0,17,29.699,29.507,16.971,16.843,508014678,0.271,-4.6,1,12.669,0.023,11.848,0.025,11.627,0.026,4.616714286,3.196,-1.126,-2.8654,-2.03
J184043.77+075945.4,280.1823978,7.9959617,0.1264,0.1354,-0.0224,38.8597281,6.0038172,281.7871804,31.0195559,3332.831,3158.15,14.864,0.051,21.4,1.42E+00,15.293,0.108,10.1,1.14E+00,11.943,0.275,3.9,9.42E-01,8.607,null,1.1,9.09E-01,1.14E+00,1,0,0,0,0,0,0,280.1823809,7.995943,0.2063,0.2131,0.0483,-315,354,-361,374,1.41E+00,1.14E+00,9.42E-01,9.09E-01,1.14E+00,1N001,0,0,0nnn,AABU,7,11,29,29,9,29,1,17,0,17,30.368,30.626,16.914,16.804,1059001899,0.172,-76.3,1,15.491,0.056,14.915,0.079,14.777,0.125,1.210571429,-0.425,-1.4545,-2.6893,1.05
J184118.88+080009.7,280.3286939,8.0027222,0.0785,0.0808,-0.0166,38.9311048,5.877351,281.9562973,31.0143217,2953.521,3175.481,13.639,0.035,30.8,1.68E+00,13.75,0.051,21.3,9.08E-01,12.558,null,-1.1,8.82E-01,9.118,null,-1.1,1.03E+00,1.17E+00,1,0,0,0,0,0,0,280.328693,8.0027256,0.0803,0.0832,-0.0167,-18,104,137,114,1.68E+00,9.09E-01,8.82E-01,1.03E+00,1.17E+00,1N000,0,0,21nn,AAUU,3,11,32,32,32,32,0,17,0,18,32.459,32.616,17.991,17.822,965930128,0.756,-2.4,1,14.672,0.065,14.128,0.057,13.899,0.09,2.287428571,0.9221,-2.0192,-3.248,-1.108
J184121.25+075642.6,280.3385599,7.9451754,0.0865,0.0893,-0.0242,38.8838045,5.8428096,281.9620679,30.9561613,2928.066,3024.797,13.993,0.041,26.6,5.22E+00,13.912,0.049,22.3,2.03E+00,12.71,null,0,1.11E+00,8.835,null,0.7,1.05E+00,2.71E+00,2,0,0,0,0,0,0,280.338542,7.9451915,0.0903,0.0943,-0.0251,-671,135,434,147,5.19E+00,2.04E+00,1.11E+00,1.05E+00,2.70E+00,2N003,dd00,1,33nn,AAUU,3,11,30,30,29,30,0,17,0,17,31.072,31.628,16.878,17.282,965929646,1.294,112.1,1,15.696,0.104,15.091,0.09,15.02,0.161,-1.851571429,-0.099,-2.113,-2.908,-1.098
J184132.81+075603.7,280.3867249,7.9343739,0.1163,0.119,-0.0135,38.8956097,5.7953297,282.0164456,30.9414176,2803.193,2996.426,14.779,0.045,24,1.97E+00,15.562,0.165,6.6,1.05E+00,12.372,null,0.4,1.06E+00,8.964,null,-0.2,8.03E-01,1.32E+00,1,0,0,0,0,0,0,280.386727,7.9343605,0.1307,0.1354,0.006,42,253,-328,279,1.97E+00,1.05E+00,1.06E+00,8.03E-01,1.32E+00,1N000,0,0,2nnn,ABUU,3,11,29,29,7,29,1,14,0,15,28.713,29.289,14.905,15.169,null,null,null,0,null,null,null,null,null,null,1.026,-0.694,-2.007,-2.8427,0.89
J184046.12+075928.9,280.1922035,7.9913786,0.0612,0.0591,-0.0052,38.8599851,5.9930826,281.7980336,31.0141911,3307.423,3146.122,12.919,0.029,37.3,2.34E+00,13.11,0.035,31.3,1.16E+00,12.332,0.417,2.6,9.22E-01,8.299,null,1.3,9.66E-01,1.47E+00,2,1,0,0,0,0,0,280.1922385,7.9913914,0.0601,0.0627,-0.0031,114,71,400,77,3.23E+00,1.23E+00,9.23E-01,9.66E-01,1.79E+00,3N011,0,0,nnnn,AACU,7,11,30,30,30,30,0,16,0,16,30.06,30.074,16.123,16.344,1059001866,0.488,77.1,1,14.051,0.033,13.211,0.031,13.052,0.04,2.557,1.673,-1.5965,-2.7063,-1.522
J184130.81+080234.7,280.3784004,8.0429932,0.0439,0.0424,-0.0037,38.9894772,5.8514165,282.0174593,31.0503459,2824.573,3280.818,11.658,0.025,43.7,2.07E+00,11.726,0.024,46.1,1.27E+00,11.554,0.206,5.3,9.29E-01,8.959,null,0.2,1.06E+00,1.44E+00,1,0,0,0,0,0,0,280.3784005,8.042994,0.0496,0.0517,-0.0049,-9,52,26,56,2.07E+00,1.27E+00,9.29E-01,1.06E+00,1.44E+00,1N000,0,0,01nn,AABU,7,11,28,28,28,28,2,14,0,14,29.118,29.545,15.441,15.812,965930436,0.273,49.9,1,12.793,0.027,12.047,0.026,11.805,0.023,3.745285714,3.042,-1.2669,-3.019,-2.128
J184141.11+080504.0,280.4213004,8.0844559,0.0385,0.0365,0.0023,39.045878,5.832045,282.0709325,31.0881018,2713.291,3389.3,10.227,0.022,48.3,1.59E+00,10.236,0.021,51.1,1.18E+00,10.314,0.061,17.8,9.78E-01,9.039,null,-0.4,9.65E-01,1.23E+00,1,0,0,0,0,0,0,280.4212998,8.0844581,0.0404,0.0402,0.0053,-25,39,79,40,1.57E+00,1.19E+00,9.78E-01,9.65E-01,1.23E+00,1N000,0,0,000n,AAAU,7,11,28,28,28,28,16,16,0,16,30.205,30.732,15.926,15.758,965991536,0.072,-138.3,1,10.644,0.021,10.436,0.024,10.321,0.025,4.879428571,3.63,0.2466,-3.0451,-2.378
J184137.33+080705.0,280.4055543,8.1180691,0.0677,0.0711,-0.0067,39.0690526,5.8610514,282.0560866,31.1229053,2754.048,3477.326,13.68,0.032,33.9,3.04E+00,13.577,0.04,27,1.12E+00,12.661,null,-2.8,1.06E+00,9.121,null,-3.5,1.03E+00,1.73E+00,1,0,0,0,0,0,0,280.4055543,8.1180691,0.0693,0.0728,-0.0085,0,105,0,114,3.04E+00,1.12E+00,1.06E+00,1.03E+00,1.73E+00,2N000,hhHH,1,11nn,AAUU,3,11,27,27,27,27,0,14,0,14,28.359,28.383,15.898,16.178,965931034,0.262,-42.2,1,15.056,0.05,14.34,0.059,13.967,0.072,1.372285714,1.283,-2.41,-3.728,-1.384
J184057.19+080117.5,280.2383141,8.0215293,0.037,0.0349,-0.0035,38.9076644,5.9657813,281.8540344,31.0404805,3187.789,3224.932,9.904,0.022,48.7,4.87E+00,9.967,0.02,55.4,2.99E+00,9.934,0.059,18.4,8.40E-01,9.066,null,0.1,9.11E-01,2.91E+00,1,0,0,0,0,0,0,280.2383128,8.0215307,0.0417,0.0431,0.0063,-62,40,55,42,4.84E+00,3.02E+00,8.41E-01,9.11E-01,2.91E+00,1N000,0,1,110n,AAAU,7,11,28,28,28,28,14,14,0,14,30.151,30.087,16.977,17.175,1059002108,0.392,-46.7,1,10.649,0.026,10.2,0.029,10.062,0.028,1.654571429,2.248,0.4599,-2.8911,-2.267
J184122.04+081221.9,280.3418452,8.2061074,0.0799,0.0679,-0.0453,39.11975,5.9568887,281.9912549,31.2159137,2918.984,3707.93,12.742,0.047,23.2,2.39E+00,12.78,0.05,21.5,1.47E+00,12.287,null,0.1,9.67E-01,8.507,null,-1.2,1.01E+00,1.59E+00,2,1,0,0,0,0,0,280.3414759,8.2062632,0.0451,0.0394,-0.0141,-304,56,538,52,5.28E+00,1.98E+00,9.68E-01,1.01E+00,2.70E+00,1N138,D000,0,nnnn,AAUU,3,11,29,29,29,29,0,16,0,16,31.562,31.683,17.209,17.105,965931695,0.226,122.1,1,13.277,0.044,12.891,0.054,12.777,0.045,0.500714286,0.381,-1.9547,-3.251,-1.807
J184148.59+080514.1,280.4524994,8.0872756,0.0428,0.0411,0.0033,39.0623357,5.8057011,282.107151,31.0883124,2632.415,3396.637,12.069,0.023,47.4,9.02E+00,12.149,0.025,44.3,2.18E+00,12.517,null,0.3,9.40E-01,9.163,null,0.1,1.08E+00,3.95E+00,1,0,0,0,0,0,0,280.4524926,8.0872815,0.0437,0.0439,0.0059,-219,50,116,53,8.97E+00,2.20E+00,9.40E-01,1.08E+00,3.95E+00,2N001,0,1,41nn,AAUU,3,11,29,29,29,29,0,16,0,16,30.216,30.706,15.896,15.881,965991520,0.163,84.4,1,13.344,0.021,12.549,0.021,12.267,0.025,-2.674142857,1.955,-1.9023,-3.055,-2.668
J184105.39+081105.7,280.2724746,8.1849405,0.1288,0.1363,0.048,39.0697865,6.0087856,281.9091945,31.2005339,3098.801,3652.668,14.185,0.051,21.1,1.24E+00,14.497,0.083,13,1.04E+00,12.16,null,1,9.19E-01,8.968,null,0,8.88E-01,1.06E+00,1,0,0,0,0,0,0,280.2724692,8.1849413,0.1675,0.1595,0.0634,-135,236,27,231,1.24E+00,1.04E+00,9.19E-01,8.88E-01,1.06E+00,1N000,dh00,0,11nn,AAUU,3,11,27,28,23,28,0,15,0,15,28.46,28.528,15.911,16.496,1059003491,0.143,6.3,1,14.882,0.038,14.424,0.059,14.369,0.078,1.342714286,-0.039,-1.794,-2.888,0.037
J184100.15+081130.0,280.2506399,8.1916897,0.174,0.2556,-0.0823,39.0661165,6.0311309,281.8846673,31.2090504,3155.366,3670.392,14.824,0.08,13.6,2.83E+00,15.275,0.15,7.2,1.35E+00,11.729,null,1.7,8.02E-01,8.828,null,0.4,9.50E-01,1.70E+00,1,0,0,0,0,0,0,280.2506168,8.1917536,0.2111,0.3203,-0.15,-583,383,1713,459,2.79E+00,1.36E+00,8.01E-01,9.50E-01,1.69E+00,1N000,0,0,0nnn,ABUU,3,11,27,28,8,28,0,13,0,13,30.037,30.117,14.968,15.597,1059003554,0.711,118,1,15.599,0.056,14.825,0.082,14.611,0.096,-1.316714286,-0.933,-1.5897,-2.8699,1.246
J184133.16+081339.5,280.3881789,8.2276454,0.178,0.1914,-0.0359,39.1597712,5.9255468,282.046801,31.2335383,2798.877,3764.23,15.472,0.068,16,2.13E+00,15.648,0.172,6.3,1.13E+00,12.561,null,0,9.27E-01,9.04,null,-0.4,9.77E-01,1.39E+00,1,0,0,0,0,0,0,280.3881991,8.2276508,0.2531,0.2683,-0.0169,398,500,110,533,2.13E+00,1.13E+00,9.27E-01,9.77E-01,1.39E+00,1N000,00O0,0,1nnn,ABUU,3,11,24,29,6,29,0,16,0,16,29.192,29.28,15.985,15.883,965931859,2.389,131.2,1,16.703,0.185,15.575,0.138,15.142,null,-0.272857143,-0.798,-1.9265,-3.0574,0.787
J184109.88+081351.7,280.2911728,8.2310288,0.1802,0.1834,-0.0558,39.1195553,6.012891,281.9352356,31.2449266,3050.229,3773.284,15.32,0.064,17,1.47E+00,15.806,0.188,5.8,1.17E+00,12.179,null,1,9.22E-01,8.308,null,2,9.13E-01,1.18E+00,2,1,0,0,0,0,0,280.2911557,8.2310176,0.2492,0.2338,-0.0878,-331,474,-198,473,2.44E+00,1.26E+00,9.23E-01,9.13E-01,1.52E+00,1N000,D000,0,nnnn,ABUU,3,11,23,27,5,27,0,15,1,15,29.078,29.37,15.956,15.714,1059003927,1.824,-41.7,1,16.275,0.106,15.795,0.176,16.068,null,0.53,-0.889,-1.7969,-2.5128,1.327
J184127.08+080401.7,280.3628557,8.0671639,0.2545,0.4248,-0.1831,39.0042572,5.8760121,282.001913,31.0757186,2864.822,3344.128,14.76,0.151,7.2,1.39E+00,15.266,0.208,5.2,1.35E+00,12.445,null,-2.4,9.43E-01,8.738,null,1,1.05E+00,1.24E+00,1,0,0,0.001,0,0,0,280.3628014,8.0671538,0.2697,0.4588,-0.2111,-1680,413,-299,403,1.37E+00,1.35E+00,9.44E-01,1.05E+00,1.23E+00,1N002,0,0,0nnn,BBUU,3,11,19,29,3,29,0,16,0,16,28.688,28.772,15.338,15.877,965930637,1.043,-83.2,1,15.734,0.082,15.333,0.133,14.886,null,-0.788,-1.127,-2.243,-2.852,0.521
J184114.04+075708.4,280.3085346,7.9523483,0.0583,0.0592,-0.0105,38.8768423,5.872605,281.9282055,30.9657814,3005.905,3043.639,13.556,0.027,39.8,3.09E+00,13.825,0.046,23.8,1.14E+00,12.047,null,1.3,9.90E-01,9.18,null,0.1,9.77E-01,1.70E+00,1,0,0,0,0,0,0,280.3085315,7.9523479,0.0698,0.0678,-0.0137,-81,98,-18,104,3.08E+00,1.14E+00,9.90E-01,9.77E-01,1.70E+00,1N000,0,1,21nn,AAUU,3,11,31,31,31,31,0,17,0,17,31.824,32.376,18.177,18.747,965929714,0.294,114,1,14.559,0.044,13.799,0.037,13.706,0.058,2.172142857,0.943,-1.8273,-2.9565,-0.522
J184139.94+080711.9,280.4164295,8.119998,0.0764,0.0816,-0.0247,39.0756385,5.852293,282.0688079,31.1239234,2725.857,3482.359,14.245,0.032,33.4,7.21E+00,14.517,0.053,20.3,2.06E+00,12.541,null,-0.3,9.03E-01,8.716,null,-0.7,7.55E-01,3.57E+00,3,1,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,hdDD,1,nnnn,AAUU,3,11,27,27,26,27,0,14,0,14,29.553,30.223,15.933,16.133,965991292,0.338,134.6,1,15.597,0.077,14.696,0.069,14.335,0.102,-2.862142857,-0.325,-1.9409,-2.8949,-0.324
J184049.47+081552.7,280.2061478,8.264659,0.0925,0.0951,-0.0176,39.1118865,6.1031867,281.8403893,31.2854083,3270.437,3861.545,14.469,0.039,27.6,1.24E+00,14.381,0.06,18,1.12E+00,11.995,0.363,3,8.60E-01,8.732,0.375,2.9,9.56E-01,1.09E+00,1,0,0,0,0,0,0,280.2061269,8.2646495,0.1178,0.1178,-0.0303,-499,211,-235,218,1.23E+00,1.11E+00,8.60E-01,9.56E-01,1.08E+00,3N000,dDdd,0,1nnn,AACC,15,11,27,27,25,27,0,14,0,14,26.798,27.378,14.749,14.417,1059004206,0.268,-14.5,1,15.335,0.054,14.833,0.093,14.651,0.096,2.274285714,0.382,-1.4846,-2.3762,0.086
J184049.85+080707.4,280.2077245,8.1187282,0.089,0.0688,-0.0363,38.981385,6.0364182,281.828145,31.1398454,3266.799,3479.49,13.24,0.039,27.8,3.17E+00,13.368,0.045,24.2,1.33E+00,12.278,null,-2.3,9.27E-01,8.586,null,-1.6,9.97E-01,1.80E+00,2,1,0,0,0,0,0,280.2080156,8.118664,0.0564,0.0508,-0.0186,-184,75,11,73,5.05E+00,1.37E+00,9.28E-01,9.98E-01,2.42E+00,1N108,0,1,nnnn,AAUU,3,11,28,28,28,28,0,15,0,15,28.684,28.733,15.98,15.883,1059002938,0.183,-11.8,1,13.715,0.045,13.406,0.052,13.31,0.057,0.370857143,0.794,-2.2146,-3.3171,-1.21
J184052.85+080348.8,280.2202141,8.0635802,0.0711,0.0725,-0.0093,38.9373833,6.0006504,281.8372318,31.0838661,3234.59,3335.074,13.817,0.031,35.1,1.84E+00,14.036,0.052,20.7,1.14E+00,12.604,null,0.1,9.31E-01,9.16,null,-0.5,9.01E-01,1.28E+00,1,0,0,0,0,0,0,280.2202124,8.0635889,0.0777,0.0777,-0.0111,-71,118,274,124,1.83E+00,1.15E+00,9.31E-01,9.01E-01,1.28E+00,1N000,0,0,10nn,AAUU,3,11,29,29,28,29,0,16,0,16,28.82,29.09,16.007,15.862,1059002482,0.222,17.7,1,14.65,0.029,13.969,0.05,13.775,0.048,2.742714286,0.628,-1.9189,-3.0013,-0.868
J184141.51+081247.4,280.4229873,8.2131814,0.0637,0.0651,-0.0072,39.1622969,5.8882675,282.0855242,31.216231,2708.705,3726.307,13.191,0.031,35.4,1.37E+00,13.385,0.038,28.6,1.40E+00,12.459,null,0.3,1.10E+00,8.969,null,0.2,8.87E-01,1.25E+00,1,0,0,0,0,0,0,280.4229836,8.2131832,0.0674,0.069,-0.0065,-150,86,109,91,1.36E+00,1.40E+00,1.10E+00,8.87E-01,1.25E+00,1N000,0hh0,0,10nn,AAUU,3,11,30,30,30,30,0,15,0,15,30.408,31.042,15.427,16.285,965990568,0.221,-14.3,1,14.253,0.04,13.465,0.032,13.319,0.044,3.256571429,1.165,-2.0615,-2.8469,-1.374
