designation,ra,dec,sigra,sigdec,sigradec,glon,glat,elon,elat,wx,wy,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,satnum,ra_pm,dec_pm,sigra_pm,sigdec_pm,sigradec_pm,pmra,sigpmra,pmdec,sigpmdec,w1rchi2_pm,w2rchi2_pm,w3rchi2_pm,w4rchi2_pm,rchi2_pm,pmcode,cc_flags,ext_flg,var_flg,ph_qual,det_bit,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,w1cov,w2cov,w3cov,w4cov,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,Sel1,Sel2,Sel3,Sel4,Sel5
J184040.17+075803.6,280.1673962,7.9676887,0.0599,0.061,-0.0076,38.8276191,6.0044245,281.7672015,30.992596,3371.817,3084.173,13.378,0.028,38.3,1.69E+00,13.555,0.04,27.3,1.23E+00,12.623,null,0.2,8.49E-01,9.058,null,-1.7,9.26E-01,1.25E+00,1,0,0,0,0,0,0,280.16739,7.9676992,0.0619,0.0631,-0.0083,-206,87,362,95,1.65E+00,1.23E+00,8.49E-01,9.26E-01,1.24E+00,1N000,0,0,22nn,AAUU,3,11,29,29,29,29,0,16,0,16,29.491,29.75,16.966,16.726,508014774,0.277,7.2,1,14.246,0.023,13.535,0.031,13.373,0.038,3.357857143,1.2,-1.8237,-3.2656,-1.368
J184040.65+075938.4,280.1693971,7.9940113,0.0675,0.07,-0.009,38.8521725,6.0144517,281.7720217,31.0186678,3366.544,3153.082,13.488,0.032,33.5,2.66E+00,13.615,0.039,27.6,1.19E+00,12.184,null,1.1,9.64E-01,8.711,null,1,1.05E+00,1.59E+00,1,0,0,0,0,0,0,280.169395,7.9940185,0.0731,0.0756,-0.0077,-45,99,198,105,2.66E+00,1.18E+00,9.64E-01,1.05E+00,1.59E+00,1N000,0,0,21nn,AAUU,3,11,30,30,30,30,0,17,0,17,29.681,29.624,16.931,16.803,508014535,1.081,39.5,1,14.321,0.042,13.98,0.056,13.851,0.061,1.694142857,1.275,-1.8266,-2.852,-0.869
J184042.97+075855.5,280.1790745,7.982086,0.1984,0.1872,-0.0379,38.8457727,6.0005396,281.7820252,31.005997,3341.491,3121.832,15.242,0.067,16.1,2.44E+00,15.41,0.137,7.9,9.63E-01,12.065,null,1.3,9.97E-01,9.214,0.534,2,9.74E-01,1.44E+00,1,0,0,0,0,0,0,280.1790719,7.9820918,0.2825,0.2913,0.0218,-36,507,104,532,2.44E+00,9.63E-01,9.97E-01,9.74E-01,1.44E+00,1N000,0,0,1nnn,ABUC,11,11,28,30,5,30,0,17,0,17,29.509,30.018,16.97,16.817,null,null,null,0,null,null,null,null,null,null,-0.564571429,-0.4725,-1.8341,-2.5738,1.045
J184101.01+080236.2,280.2542465,8.0434002,0.0793,0.0823,-0.0178,38.9344315,5.961483,281.8744947,31.0609737,3146.425,3282.152,13.64,0.037,29.3,1.43E+00,13.725,0.046,23.8,9.29E-01,12.613,null,0,8.92E-01,9.193,null,-0.6,1.07E+00,1.11E+00,1,0,0,0,0,0,0,280.2542436,8.0434089,0.0812,0.0862,-0.0155,-119,105,387,116,1.41E+00,9.33E-01,8.92E-01,1.07E+00,1.10E+00,1N000,0,0,10nn,AAUU,3,11,30,30,30,30,0,15,0,15,30.419,30.69,15.989,15.91,1059002298,0.29,-22,1,14.223,0.037,13.861,0.042,13.684,0.05,2.330142857,1.1507,-1.8923,-3.193,-1.188
J184119.76+080239.1,280.3323451,8.0442193,0.0944,0.0972,-0.026,38.9700225,5.8927268,281.9645339,31.0553738,2943.963,3284.117,14.298,0.04,27.1,2.26E+00,14.394,0.068,15.9,1.05E+00,12.72,null,-2.7,9.88E-01,8.407,null,1.4,1.02E+00,1.42E+00,2,1,0,0,0,0.002,0,280.3323472,8.0442216,0.0929,0.0965,-0.0246,81,155,74,169,4.58E+00,1.39E+00,1.03E+00,1.02E+00,2.28E+00,1N000,0h00,0,nnnn,AAUU,3,11,30,30,29,30,0,17,0,17,31.468,32.377,17.97,17.711,965930445,0.717,-38.1,1,15.436,0.089,14.699,0.076,14.47,0.091,1.186857143,0.242,-2.3253,-2.735,-0.626
J184113.56+080534.2,280.3065105,8.0928421,0.0595,0.0595,-0.0112,39.0021888,5.9373896,281.9394945,31.1059561,3010.82,3411.471,14.035,0.026,41.3,2.36E+00,14.336,0.046,23.4,1.16E+00,12.645,null,-1.5,9.29E-01,9.077,null,-0.4,9.74E-01,1.49E+00,1,0,0,0,0,0,0,280.3065098,8.0928459,0.0662,0.0675,-0.0133,-35,122,133,131,2.36E+00,1.16E+00,9.29E-01,9.74E-01,1.49E+00,1N000,0,0,11nn,AAUU,3,11,31,31,30,31,0,16,0,16,31.226,31.547,16.336,15.963,965930841,0.041,90.5,1,14.76,null,14.854,0.109,13.919,null,3.108428571,0.876,-2.1163,-3.0541,-0.609
J184146.15+080442.5,280.4423,8.0784981,0.0842,0.0873,-0.0156,39.0498977,5.8107901,282.0945384,31.0804166,2658.866,3373.671,14.093,0.037,29.5,7.94E+00,14.296,0.062,17.5,1.97E+00,12.863,null,-2.2,1.12E+00,8.902,null,0.7,9.44E-01,3.58E+00,1,0,0,0,0,0,0,280.4423028,8.0784997,0.0882,0.0933,-0.0143,86,137,69,152,7.94E+00,1.97E+00,1.12E+00,9.44E-01,3.58E+00,2N000,00H0,1,00nn,AAUU,3,11,30,30,30,30,0,16,0,16,29.643,29.808,15.982,15.822,965991580,0.489,-136.8,1,14.798,0.04,14.213,0.038,14.025,0.069,-4.153285714,-0.515,-2.391,-2.8036,-0.867
J184124.76+080846.4,280.353197,8.1462457,0.09,0.0935,-0.013,39.0710126,5.9200137,281.9984995,31.1553228,2889.694,3551.188,14.03,0.038,28.4,2.84E+00,14.112,0.064,17,1.08E+00,12.615,null,-0.6,9.38E-01,8.937,null,-0.3,8.44E-01,1.59E+00,1,0,0,0,0,0,0,280.353202,8.1462519,0.0971,0.0994,-0.0171,0,141,348,148,2.83E+00,1.08E+00,9.38E-01,8.44E-01,1.58E+00,2N002,0,0,10nn,AAUU,3,11,30,30,29,29,0,16,0,16,29.793,30.493,16.202,15.94,965931248,0.214,-92.6,1,15.102,0.05,14.299,0.038,14.204,0.093,0.788571429,0.319,-2.0128,-2.9035,-0.803
J184112.01+075831.7,280.3000487,7.9754993,0.0527,0.0531,-0.006,38.8938556,5.8904986,281.9206781,30.98955,3027.853,3104.27,12.971,0.027,40.1,4.52E+00,12.994,0.031,35.6,1.44E+00,12.122,null,1.5,9.77E-01,8.632,null,0.8,8.75E-01,2.24E+00,1,0,0,0,0,0,0,280.3000505,7.9755031,0.0562,0.0564,-0.0081,38,72,104,76,4.52E+00,1.44E+00,9.77E-01,8.75E-01,2.24E+00,1N000,0h00,1,21nn,AAUU,3,11,30,30,30,30,0,17,0,17,30.274,30.162,17.944,17.689,965929893,0.736,-95.1,1,13.756,0.04,13.405,0.047,13.298,0.046,0.778,1.821,-1.789,-2.7149,-1.428
J184056.74+081301.8,280.2364482,8.2171935,0.0476,0.0452,-0.0044,39.0827169,6.0551148,281.8707651,31.2356287,3192.069,3737.198,12.218,0.025,44.2,2.20E+01,12.339,0.026,41.4,6.31E+00,11.877,null,1.7,9.08E-01,9.196,null,-0.1,1.08E+00,9.78E+00,2,0,0,0,0,0,0,280.2364502,8.2171962,0.0495,0.0465,-0.0087,68,57,87,56,2.20E+01,6.31E+00,9.08E-01,1.08E+00,9.78E+00,1N000,0,1,21nn,AAUU,3,11,28,28,28,28,0,14,0,14,27.679,27.717,13.878,13.905,1059003801,0.157,67.8,1,13.418,0.026,12.63,0.028,12.428,0.027,-16.13428571,-2.471,-1.695,-3.096,-1.838
