designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,r_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J202311.59+404637.3,305.7983210,40.7770377,20h23m11.60s,40d46m37.34s,0.0533,0.0534,-0.0083,13.760,0.022,50.2,2.994E+00,14.591,0.058,18.8,3.794E+00,9.848,null,1.8,3.544E-01,4.608,null,1.4,2.449E-01,2,0,0.000,0.000,0.000,0.005,134,236,32,212,0hh0,1,55nn,AAUU,0000,49,49,21,49,2,19,1,19,305544351,0.734,15.744,0.072,14.725,0.069,14.188,null,7.678924,222.115035
J202310.60+404622.0,305.7941773,40.7727814,20h23m10.60s,40d46m22.01s,0.0371,0.0355,0.0083,9.970,0.021,52.8,3.691E+00,10.065,0.020,53.2,2.391E+00,9.509,null,0.1,7.352E-02,7.724,null,-18.8,3.274E+00,1,0,0.000,0.000,0.000,0.000,11,31,-302,31,0ddd,1,31nn,AAUU,0000,50,50,50,50,0,19,0,3,305544390,0.212,10.637,0.020,10.374,0.018,10.220,0.014,26.688480,218.043269
J202312.30+404615.2,305.8012566,40.7709093,20h23m12.30s,40d46m15.27s,0.0467,0.0462,-0.0035,12.883,0.025,43.5,4.565E+00,12.993,0.025,42.9,2.088E+00,9.287,null,0.4,5.187E-02,4.787,0.115,9.4,4.053E+00,1,0,0.000,0.000,0.000,0.002,-116,60,-118,60,hDdd,1,3nn2,AAUB,0000,50,50,50,50,0,19,17,19,305544406,0.406,13.542,0.022,13.163,0.027,12.906,0.030,27.904776,174.130915
J202309.55+404625.5,305.7898304,40.7737775,20h23m09.56s,40d46m25.60s,0.0450,0.0433,0.0063,11.186,0.024,44.6,4.045E+01,11.236,0.024,44.5,1.447E+01,9.791,null,-0.5,9.312E-02,4.422,null,-0.9,1.070E-01,1,0,0.000,0.000,0.000,0.000,226,39,158,38,dddd,1,43nn,AAUU,0000,50,50,50,50,0,19,0,5,305544382,1.061,13.444,0.026,12.226,0.030,11.806,0.022,33.235494,238.366809
J202311.06+404715.4,305.7960957,40.7876123,20h23m11.06s,40d47m15.40s,0.0726,0.0725,-0.0118,11.868,0.034,32.3,3.028E+00,11.986,0.041,26.6,1.818E+00,9.777,0.201,5.4,6.924E-01,5.656,0.523,2.1,2.184E-01,1,0,0.000,0.000,0.000,0.000,34,54,-43,55,0hh0,1,463n,AABC,0000,50,50,50,50,14,19,2,19,305544255,0.281,12.602,0.023,12.242,0.024,12.090,0.023,34.259922,340.893187
J202308.82+404641.9,305.7867506,40.7783242,20h23m08.82s,40d46m41.97s,0.0397,0.0379,0.0090,10.785,0.023,47.2,4.186E+00,10.828,0.021,51.3,2.578E+00,9.541,0.298,3.6,2.638E-01,4.313,null,0.7,1.060E-01,1,0,0.001,0.000,0.000,0.000,19,44,20,48,hhd0,1,231n,AABU,0000,51,51,51,51,15,19,0,19,305544337,0.154,11.486,0.020,11.160,0.018,10.973,0.016,36.706660,268.341981
J202315.33+404646.1,305.8138822,40.7794990,20h23m15.33s,40d46m46.20s,0.0409,0.0395,0.0076,11.960,0.024,44.7,1.990E+01,12.191,0.020,54.1,8.276E+00,10.575,null,0.4,3.275E-01,5.781,0.098,11.0,2.713E+00,1,0,0.000,0.000,0.000,0.000,38,57,-103,56,hhdd,1,44n1,AAUA,0000,49,49,49,49,0,19,17,19,305544328,1.126,12.658,0.030,12.340,0.031,12.190,0.026,37.405079,85.142619
J202314.32+404614.8,305.8096979,40.7707987,20h23m14.33s,40d46m14.88s,0.0372,0.0352,0.0080,10.948,0.022,48.6,1.962E+01,11.007,0.019,56.1,8.175E+00,9.656,null,1.2,1.466E-01,3.674,0.103,10.5,2.264E+00,1,0,0.000,0.000,0.000,0.000,-107,35,254,34,hhhd,1,43n1,AAUA,0000,50,50,50,50,1,19,19,19,305544407,0.871,11.694,0.023,11.354,0.023,11.219,0.018,38.234200,137.424798
J202315.47+404629.7,305.8144663,40.7749170,20h23m15.47s,40d46m29.70s,0.1588,0.2302,-0.0841,17.885,null,0.6,7.631E+00,16.841,null,-19.7,3.889E+00,9.592,null,0.2,9.354E-02,4.564,0.111,9.8,2.351E+00,2,0,0.000,0.000,0.000,0.000,-523,484,-26,598,HHd0,1,nnn0,UUUB,0000,13,50,0,50,0,19,19,19,null,null,null,null,null,null,null,null,41.087323,108.927628
J202313.25+404725.2,305.8052139,40.7903582,20h23m13.25s,40d47m25.29s,0.0651,0.0649,-0.0123,11.605,0.032,34.1,1.390E+00,11.609,0.035,30.9,1.055E+00,8.981,0.088,12.3,1.464E+00,4.964,0.246,4.4,7.017E-01,1,0,0.000,0.000,0.000,0.000,69,47,-86,47,dddd,0,4311,AAAB,0000,50,50,50,50,19,19,16,19,305544232,0.166,12.315,0.022,11.945,0.019,11.745,0.017,44.404280,17.887215
J202313.10+404552.5,305.8045912,40.7645905,20h23m13.10s,40d45m52.53s,0.0432,0.0413,0.0047,11.878,0.025,43.6,2.975E+01,11.418,0.024,45.2,2.444E+01,9.559,0.055,19.6,3.557E+00,3.907,0.035,30.6,6.007E+01,1,0,0.000,0.000,0.000,0.000,146,41,-327,40,dddd,1,9914,AAAA,0000,50,50,47,50,14,19,18,19,305544480,0.653,14.961,0.040,13.253,0.030,12.645,0.027,51.899436,166.692645
J202310.42+404552.1,305.7934411,40.7644886,20h23m10.43s,40d45m52.16s,0.0366,0.0358,0.0087,6.992,0.045,24.3,4.481E+00,7.177,0.021,52.8,4.634E+00,7.227,0.023,47.0,3.545E+00,6.665,null,-3.2,7.035E+00,1,0,0.074,0.000,0.000,0.000,155,30,-109,29,ddhd,1,120n,AAAU,0000,51,51,51,51,19,19,0,18,305544484,0.513,7.731,0.021,7.467,0.016,7.361,0.017,54.116824,199.940643
J202314.37+404730.5,305.8099145,40.7918238,20h23m14.38s,40d47m30.57s,0.4599,0.5086,-0.1736,15.152,null,1.4,6.467E-01,16.058,0.499,2.2,8.179E-01,9.429,0.125,8.7,1.141E+00,5.622,0.531,2.0,3.794E-01,1,0,0.000,0.000,0.000,0.000,3607,1328,-3492,1759,DDdd,0,nn0n,UCBC,0000,6,50,4,50,19,19,3,19,null,null,null,null,null,null,null,null,54.398356,29.092699
J202307.31+404654.9,305.7804614,40.7819195,20h23m07.31s,40d46m54.91s,0.0336,0.0326,0.0081,7.834,0.022,50.0,5.231E+00,7.891,0.018,58.7,4.084E+00,7.856,0.033,33.2,1.368E+00,4.025,null,1.7,2.050E-01,1,0,0.015,0.000,0.000,0.000,-55,29,95,28,pph0,1,130n,AAAU,0000,51,51,51,51,19,19,0,19,305544304,0.305,8.512,0.020,8.265,0.018,8.124,0.013,55.129375,282.448992
J202308.61+404722.8,305.7858931,40.7896762,20h23m08.61s,40d47m22.83s,0.0563,0.0566,-0.0036,11.869,0.027,40.1,1.427E+01,11.908,0.034,31.9,3.536E+00,10.539,null,0.1,2.319E-01,5.168,null,-0.6,7.920E-02,1,0,0.000,0.000,0.000,0.000,96,46,-223,46,dddd,1,87nn,AAUU,0000,51,51,53,53,0,19,0,20,305544237,0.580,15.043,0.043,13.288,0.031,12.619,0.028,55.742376,315.569304
J202316.30+404714.3,305.8179382,40.7873084,20h23m16.31s,40d47m14.31s,0.0387,0.0377,0.0075,11.052,0.022,50.1,6.384E+00,11.098,0.022,49.4,2.712E+00,8.938,0.057,18.9,2.706E+00,6.204,0.467,2.3,1.441E+00,1,0,0.000,0.000,0.000,0.000,77,35,-264,34,ddhd,1,420n,AAAC,0000,50,50,50,50,19,19,5,19,305544259,0.106,13.165,0.020,11.934,0.018,11.527,0.016,57.564149,57.081329
J202313.67+404739.7,305.8069891,40.7943674,20h23m13.68s,40d47m39.72s,0.1599,0.1600,-0.0318,14.436,0.068,15.9,1.571E+00,14.441,0.101,10.8,1.335E+00,9.692,0.156,7.0,1.089E+00,5.072,0.325,3.3,8.000E-01,1,0,0.000,0.000,0.000,0.000,-652,208,-142,210,DDdd,0,nn00,AABB,0000,43,52,22,52,20,21,10,21,305544191,0.552,15.829,0.078,15.007,0.077,14.667,0.123,59.626057,18.050915
J202311.35+404742.4,305.7973179,40.7951300,20h23m11.36s,40d47m42.47s,0.0391,0.0375,0.0085,10.156,0.023,48.1,2.105E+01,10.143,0.021,51.4,1.050E+01,9.537,0.132,8.2,4.924E-01,4.749,0.142,7.6,2.229E+00,1,0,0.000,0.000,0.000,0.000,-132,37,-284,35,ddd0,1,7711,AABB,0000,52,52,52,52,12,21,21,21,305544186,0.415,13.394,0.028,11.601,0.021,10.879,0.016,59.956490,352.445841
J202307.57+404608.8,305.7815532,40.7691141,20h23m07.57s,40d46m08.81s,0.0390,0.0363,0.0091,8.030,0.023,46.9,1.805E+00,8.024,0.020,53.4,1.230E+00,8.175,0.190,5.7,6.691E-02,6.144,null,-4.5,2.382E+00,1,0,0.003,0.000,0.000,0.000,34,31,75,30,dddd,0,100n,AABU,0000,49,49,49,49,19,19,0,1,305544426,0.131,8.491,0.026,8.237,0.023,8.149,0.014,61.303813,236.073050
J202309.19+404739.6,305.7882980,40.7943340,20h23m09.19s,40d47m39.60s,0.0386,0.0368,0.0089,9.179,0.023,47.6,2.448E+00,9.204,0.021,52.7,2.367E+00,9.682,0.375,2.9,1.922E-01,4.826,null,1.4,2.013E-01,1,0,0.000,0.000,0.000,0.000,13,32,24,32,hhhd,0,12nn,AACU,0000,52,52,53,53,7,22,0,22,305544194,0.108,10.784,0.022,9.818,0.016,9.484,0.014,65.226107,330.149915
J202317.27+404614.3,305.8219959,40.7706618,20h23m17.28s,40d46m14.38s,0.0391,0.0373,0.0075,10.430,0.023,46.7,1.040E+01,10.396,0.021,52.9,7.914E+00,11.275,null,-0.1,9.665E-01,4.202,0.067,16.3,1.648E+01,2,0,0.000,0.000,0.000,0.000,-50,37,-128,39,hdD0,1,99n3,AAUA,0000,50,50,50,50,0,19,19,19,305544411,0.367,11.171,0.022,10.882,0.019,10.697,0.016,65.942019,115.744161
J202317.40+404709.8,305.8225348,40.7860608,20h23m17.41s,40d47m09.82s,0.0456,0.0438,0.0029,11.713,0.024,44.6,1.387E+01,11.685,0.026,41.5,4.470E+00,8.937,0.059,18.3,4.184E+00,4.679,0.102,10.6,4.285E+00,1,0,0.000,0.000,0.000,0.000,83,39,-174,39,ddh0,1,9902,AAAA,0000,51,51,51,51,19,19,15,19,305544274,0.249,12.711,0.022,12.313,0.023,12.090,0.022,66.489910,66.234906
J202318.05+404648.1,305.8252289,40.7800474,20h23m18.05s,40d46m48.17s,0.0420,0.0401,0.0069,11.735,0.023,47.1,2.215E+00,11.728,0.024,46.1,1.488E+00,10.117,0.243,4.5,6.618E-01,4.445,0.047,23.1,2.744E+01,1,0,0.000,0.000,0.000,0.000,-9,39,-26,39,hhh0,1,4114,AABA,0000,51,51,51,51,12,19,18,19,305544321,0.182,13.563,0.027,12.416,0.023,11.974,0.021,68.395593,85.683071
J202316.78+404559.7,305.8199573,40.7666064,20h23m16.79s,40d45m59.78s,0.0396,0.0379,-0.0040,9.879,0.022,49.3,1.408E+01,9.774,0.022,50.4,1.568E+01,9.564,null,1.5,1.815E-01,4.425,0.096,11.3,5.525E+00,1,0,0.000,0.000,0.000,0.000,-216,36,-121,42,hhHd,1,99n3,AAUA,0000,51,51,51,51,1,19,19,19,305544454,0.316,10.642,0.019,10.394,0.014,10.247,0.013,69.057333,128.769465
J202306.03+404701.2,305.7751475,40.7836773,20h23m06.04s,40d47m01.24s,0.0397,0.0384,0.0084,10.033,0.023,46.8,9.293E+00,10.061,0.022,50.2,5.384E+00,8.943,0.112,9.7,1.099E+00,4.003,null,1.2,1.294E-01,1,0,0.000,0.000,0.000,0.000,52,46,19,52,ddhd,1,880n,AABU,0000,53,53,53,53,20,21,0,21,305544293,0.261,10.598,0.022,10.361,0.018,10.244,0.014,70.703547,284.930055
J202315.15+404745.0,305.8131536,40.7958506,20h23m15.16s,40d47m45.06s,0.0837,0.0853,-0.0138,13.041,0.039,27.9,4.004E+00,13.131,0.049,22.0,1.169E+00,9.245,0.150,7.3,1.145E+00,4.881,0.361,3.0,4.709E-01,1,0,0.000,0.000,0.000,0.000,-23,76,247,80,dd0d,1,3100,AABC,0000,51,51,51,51,19,20,10,20,305544172,1.021,14.297,0.027,13.646,0.037,13.433,0.049,71.361411,29.625383
J202305.75+404630.5,305.7739994,40.7751610,20h23m05.76s,40d46m30.58s,0.0761,0.0750,-0.0141,13.719,0.035,31.4,7.153E+00,14.144,0.051,21.2,1.350E+00,8.711,0.112,9.7,1.577E+00,3.421,0.096,11.3,5.127E+00,1,0,0.000,0.000,0.000,0.000,66,89,151,88,PDdd,1,nn11,AABA,0000,49,50,36,50,11,19,19,19,305544372,2.036,16.420,null,15.409,0.115,14.761,0.141,72.530463,260.122751
J202311.28+404757.4,305.7970235,40.7992975,20h23m11.29s,40d47m57.47s,0.1055,0.1052,-0.0292,13.035,0.049,22.4,5.427E+00,13.111,0.052,20.8,2.522E+00,10.070,null,1.9,8.388E-01,4.573,0.132,8.2,5.084E+00,2,0,0.000,0.000,0.000,0.001,105,84,88,84,hhd0,1,42n0,AAUB,0000,51,51,52,52,1,23,22,23,305544142,0.418,13.826,0.028,13.444,0.031,13.137,0.042,74.943966,353.346094
J202312.74+404758.8,305.8031047,40.7996889,20h23m12.75s,40d47m58.88s,0.1245,0.1264,-0.0317,14.281,0.054,20.0,1.861E+00,14.637,0.081,13.4,1.318E+00,10.001,0.204,5.3,1.190E+00,4.241,0.123,8.8,3.186E+00,1,0,0.000,0.000,0.000,0.001,-318,163,-305,167,0hd0,1,2101,AABB,0000,50,53,26,53,12,22,22,22,305544135,1.954,15.814,0.079,14.873,0.077,14.474,0.108,76.257297,5.937724
J202310.10+404759.3,305.7921028,40.7998277,20h23m10.10s,40d47m59.38s,0.0804,0.0812,-0.0149,12.645,0.039,27.6,1.982E+01,12.702,0.042,25.9,6.178E+00,11.561,null,-5.6,8.951E-01,5.472,0.126,8.6,3.824E+00,2,0,0.000,0.000,0.000,0.000,158,68,560,265,hDHd,1,9nn1,AAUB,0000,52,52,52,53,0,15,21,23,null,null,null,null,null,null,null,null,79.481192,343.860714
J202314.21+404759.0,305.8092399,40.7997379,20h23m14.22s,40d47m59.06s,0.0784,0.0787,-0.0141,12.742,0.038,28.6,3.746E+00,12.897,0.043,25.4,1.509E+00,9.043,0.125,8.7,1.702E+00,3.909,0.168,6.4,1.084E+00,1,0,0.000,0.000,0.000,0.000,145,59,-201,60,00hd,1,3211,AABB,0000,52,52,52,52,21,21,21,21,305544136,0.840,14.347,0.034,13.441,0.039,13.051,0.038,79.909152,17.935880
J202317.74+404730.6,305.8239331,40.7918498,20h23m17.74s,40d47m30.66s,0.0356,0.0344,0.0075,7.442,0.028,38.6,4.232E+00,7.532,0.020,53.5,3.702E+00,7.162,0.023,47.1,3.125E+00,4.717,0.104,10.5,4.379E+00,1,0,0.050,0.000,0.000,0.000,19,35,-80,30,00hd,1,0100,AAAA,0000,50,50,50,50,19,19,18,19,305544211,0.319,9.400,0.025,8.322,0.021,7.915,0.017,80.310708,53.619380
J202306.31+404554.7,305.7763233,40.7652076,20h23m06.32s,40d45m54.75s,0.0490,0.0473,0.0087,12.335,0.026,41.8,2.619E+01,12.344,0.029,37.2,5.577E+00,10.479,0.182,5.9,7.420E-01,5.228,0.040,27.3,3.686E+01,1,0,0.000,0.001,0.000,0.000,59,50,-288,50,hh00,1,7736,AABA,0000,50,50,50,50,8,18,17,18,305544463,0.346,14.816,0.026,13.536,0.023,13.082,0.033,81.070528,233.453234
J202315.78+404532.5,305.8157658,40.7590495,20h23m15.78s,40d45m32.58s,0.0455,0.0435,0.0108,9.996,0.027,40.0,8.485E+01,9.747,0.025,44.2,7.814E+01,10.190,0.106,10.2,2.187E+00,8.464,null,-12.8,4.416E+00,1,0,0.000,0.000,0.002,0.000,628,30,769,30,ddHd,1,99nn,AAAU,0000,51,51,38,51,7,12,0,19,null,null,null,null,null,null,null,null,82.234664,148.947518
J202309.74+404524.9,305.7906233,40.7569187,20h23m09.75s,40d45m24.91s,0.0395,0.0371,0.0068,11.248,0.023,47.7,2.006E+01,11.357,0.021,51.9,5.467E+00,10.652,0.144,7.5,1.522E+00,6.267,0.103,10.5,5.432E+00,1,0,0.000,0.000,0.000,0.000,-161,43,188,43,hhh0,1,3112,AABA,0000,50,50,50,50,10,18,12,18,305544573,1.214,14.310,0.041,12.663,0.034,12.035,0.027,82.381250,198.501833
J202314.54+404519.0,305.8106183,40.7552875,20h23m14.55s,40d45m19.04s,0.0348,0.0338,0.0092,7.619,0.027,40.6,1.536E+00,7.635,0.020,55.1,1.663E+00,7.916,0.023,46.8,2.313E+00,8.806,null,-23.5,1.189E+01,1,0,0.112,0.000,0.000,0.000,26,40,49,31,hhd0,1,000n,AAAU,0000,50,50,50,50,19,19,0,18,305544587,0.332,8.167,0.021,7.929,0.023,7.795,0.026,88.661393,161.328912
J202306.26+404743.1,305.7761145,40.7953147,20h23m06.27s,40d47m43.13s,0.0724,0.0913,-0.0211,11.257,0.035,30.9,9.222E+01,11.244,0.044,24.8,2.358E+01,8.671,null,1.5,1.001E-01,4.053,null,0.6,1.512E-02,1,0,0.000,0.000,0.000,0.000,1059,41,982,41,dDdd,1,6nnn,AAUU,0000,40,53,39,52,0,23,0,23,null,null,null,null,null,null,null,null,89.026159,312.469227
J202307.92+404526.6,305.7830083,40.7574052,20h23m07.92s,40d45m26.66s,0.1150,0.1157,-0.0164,13.571,0.060,18.0,3.576E+00,14.170,0.063,17.3,1.308E+00,12.104,null,-0.7,1.360E+00,7.751,null,-28.4,1.496E+01,1,0,0.001,0.000,0.000,0.000,-78,356,264,316,0hh0,1,21nn,AAUU,0000,51,51,39,51,0,18,11,17,305544572,0.507,14.902,0.040,14.273,0.055,13.969,0.070,89.624330,211.559440
J202304.35+404710.1,305.7681278,40.7861390,20h23m04.35s,40d47m10.10s,0.0534,0.0520,-0.0017,13.000,0.026,42.0,1.811E+01,13.465,0.034,31.7,3.763E+00,9.570,0.151,7.2,9.479E-01,3.398,0.234,4.6,4.921E-01,2,0,0.000,0.000,0.000,0.000,158,58,-49,58,DDhd,1,nn0n,AABB,0000,52,52,50,52,10,21,3,21,305544271,1.815,15.144,0.048,14.096,0.046,13.756,0.054,91.546345,287.208780
J202319.37+404603.9,305.8307347,40.7677582,20h23m19.38s,40d46m03.93s,0.0444,0.0402,-0.0110,10.118,0.026,41.2,1.318E+02,9.840,0.020,54.8,1.377E+02,10.827,null,0.4,9.938E-01,4.285,0.069,15.6,6.040E+00,2,0,0.000,0.000,0.000,0.000,1611,34,-1850,25,ddDd,1,nnn1,AAUA,0000,51,51,51,51,0,17,19,19,305544447,2.307,12.654,0.023,11.534,0.018,11.099,0.016,91.947806,115.157674
J202303.82+404634.3,305.7659521,40.7762104,20h23m03.83s,40d46m34.36s,0.0410,0.0392,0.0067,11.390,0.024,45.6,4.408E+00,11.385,0.023,47.2,2.191E+00,8.705,0.045,24.4,5.322E+00,3.042,0.052,21.0,1.995E+01,2,0,0.000,0.000,0.000,0.000,0,36,0,35,ddd0,1,1214,AAAA,0000,49,49,49,49,18,18,18,18,305544358,0.507,12.056,0.020,11.717,0.019,11.571,0.017,93.792778,264.704521
J202316.58+404801.8,305.8191119,40.8005269,20h23m16.59s,40d48m01.90s,0.0387,0.0376,0.0082,9.543,0.023,47.6,1.427E+00,9.550,0.021,51.5,1.293E+00,8.649,0.090,12.1,7.489E-01,5.341,0.101,10.8,6.428E+00,1,0,0.000,0.000,0.000,0.000,51,35,21,35,0h0d,1,1101,AAAA,0000,52,52,52,52,17,21,17,21,305544116,0.120,9.959,0.022,9.745,0.018,9.612,0.013,94.201338,33.148788
J202311.38+404818.5,305.7974208,40.8051665,20h23m11.38s,40d48m18.60s,0.1197,0.1203,-0.0330,13.363,0.056,19.4,1.630E+00,13.868,0.061,17.8,1.612E+00,10.560,null,-4.4,6.016E-01,4.706,0.120,9.0,5.933E+00,1,0,0.000,0.000,0.000,0.000,137,111,-14,112,hhHd,1,30n0,AAUB,0000,52,52,49,52,0,2,22,23,305544072,0.947,14.775,0.034,14.107,0.040,13.703,0.052,95.869278,355.452836
J202319.81+404721.3,305.8325512,40.7892688,20h23m19.81s,40d47m21.37s,0.0449,0.0438,-0.0018,11.457,0.024,44.6,2.445E+01,11.529,0.026,41.3,7.461E+00,9.106,0.052,21.1,4.364E+00,5.158,0.060,18.0,2.081E+01,1,0,0.000,0.000,0.000,0.000,191,40,-235,39,ddh0,1,4312,AAAA,0000,49,49,49,49,19,19,19,19,305544240,1.926,14.359,0.032,12.943,0.034,12.373,0.027,96.131560,66.487287
J202316.19+404519.0,305.8174722,40.7552923,20h23m16.19s,40d45m19.05s,0.0414,0.0404,0.0068,8.623,0.027,40.3,7.111E+00,8.518,0.023,48.0,1.136E+01,9.092,0.035,30.8,4.019E+00,8.326,null,-13.8,3.538E+00,1,0,0.000,0.000,0.000,0.000,16,31,95,32,pdHd,1,99nn,AAAU,0000,51,51,51,51,20,20,0,18,305544588,0.091,9.245,0.022,8.949,0.016,8.807,0.013,96.269447,150.726112
J202309.15+404813.9,305.7881257,40.8038876,20h23m09.15s,40d48m14.00s,0.0454,0.0445,0.0080,11.042,0.025,43.8,2.825E+01,11.116,0.025,44.0,1.535E+01,10.163,null,-0.8,2.054E-01,5.003,0.510,2.1,2.953E-01,1,0,0.000,0.000,0.000,0.000,1,40,-220,42,hhdd,1,99nn,AAUC,0000,52,52,53,53,0,21,1,24,305544084,0.650,11.900,0.019,11.571,0.018,11.465,0.017,96.742596,340.099502
J202320.69+404646.9,305.8362224,40.7797094,20h23m20.69s,40d46m46.95s,0.0361,0.0342,0.0075,8.225,0.023,47.7,1.348E+00,8.284,0.020,53.7,1.638E+00,8.060,0.039,27.5,7.213E-01,3.836,0.030,36.0,3.997E+01,1,0,0.001,0.000,0.000,0.000,13,30,54,29,dddd,1,0103,AAAA,0000,49,50,50,50,19,19,19,19,305544322,0.069,9.259,0.020,8.571,0.016,8.374,0.013,98.249455,87.700546
J202314.16+404818.3,305.8090329,40.8050943,20h23m14.17s,40d48m18.34s,0.1167,0.1159,-0.0201,14.391,0.047,23.0,2.922E+00,15.606,0.172,6.3,1.754E+00,9.917,0.328,3.3,6.103E-01,4.441,0.324,3.4,4.886E-01,1,0,0.000,0.000,0.000,0.000,-46,162,-30,164,00hd,0,4nn0,ABBB,0000,43,53,9,53,8,22,19,22,305544068,1.050,15.538,0.060,14.891,0.072,14.304,0.090,98.294313,14.157821
J202305.18+404542.8,305.7715839,40.7619092,20h23m05.18s,40d45m42.87s,0.0371,0.0355,0.0078,7.961,0.025,44.3,1.660E+00,8.069,0.020,54.5,1.373E+00,7.864,0.044,24.4,4.859E-01,3.573,0.053,20.4,1.054E+01,1,0,0.016,0.000,0.000,0.000,82,31,8,30,0000,1,0101,AAAA,0000,49,49,49,49,18,18,18,18,305544509,0.148,8.806,0.026,8.209,0.018,8.079,0.013,98.540913,232.383938
J202318.13+404532.4,305.8255540,40.7590055,20h23m18.13s,40d45m32.42s,0.0594,0.0653,0.0042,3.860,0.438,2.5,4.954E-02,3.339,0.311,3.5,2.625E-01,3.663,0.017,62.8,2.279E+00,3.290,0.051,21.1,8.326E-01,1,0,0.222,0.218,0.021,0.000,-944,43,-600,47,HHH0,0,nnn1,CBAA,0000,39,51,48,51,20,20,20,20,305544544,0.691,4.637,0.236,4.192,0.258,4.002,0.031,98.796851,135.612076
J202306.73+404801.8,305.7780499,40.8005043,20h23m06.73s,40d48m01.82s,0.0554,0.0611,-0.0136,4.611,0.239,4.5,5.576E-02,4.457,0.132,8.2,3.415E-01,4.675,0.017,62.9,5.693E-01,4.341,0.424,2.6,2.178E-02,1,0,0.204,0.197,0.000,0.000,215,45,49,48,000d,0,010n,BBAC,0000,54,54,54,54,24,24,0,24,305544120,0.469,5.395,0.023,4.812,0.024,4.715,0.017,99.272217,322.531453
J202303.50+404704.7,305.7646158,40.7846613,20h23m03.51s,40d47m04.78s,0.0778,0.0743,0.0197,13.740,0.031,34.8,5.748E+00,15.116,0.090,12.1,1.695E+00,8.911,0.092,11.8,1.600E+00,3.750,0.315,3.4,8.575E-02,2,0,0.000,0.000,0.000,0.000,2841,83,-198,82,0Hh0,1,3n0n,AAAB,0000,51,52,20,52,16,21,3,21,305544287,0.389,15.077,0.047,14.520,0.063,14.372,0.100,99.435112,282.645625
J202309.85+404506.1,305.7910798,40.7516994,20h23m09.86s,40d45m06.12s,0.0581,0.0575,-0.0062,13.630,0.026,42.2,5.942E+00,14.590,0.050,21.6,3.029E+00,9.953,0.126,8.6,1.642E+00,6.165,0.050,21.9,1.889E+01,1,0,0.000,0.000,0.000,0.000,-30,81,77,84,0hh0,1,3414,AABA,0000,51,51,24,51,18,19,9,19,305544615,1.820,16.374,0.115,15.182,0.099,14.680,0.125,100.060438,194.409185
J202318.61+404755.1,305.8275482,40.7986618,20h23m18.61s,40d47m55.18s,0.1209,0.1184,-0.0274,13.879,0.057,19.1,4.314E+00,14.066,0.072,15.0,1.382E+00,10.065,0.081,13.3,2.926E+00,5.517,0.225,4.8,1.022E+01,2,0,0.000,0.000,0.000,0.000,-14,111,-977,112,dd0d,1,4243,AAAB,0000,50,50,45,51,13,20,16,20,305544148,1.139,16.064,0.096,15.027,0.090,14.819,0.151,103.721145,45.914446
J202302.57+404628.9,305.7607389,40.7746998,20h23m02.58s,40d46m28.92s,0.0376,0.0366,0.0027,10.643,0.024,45.4,3.493E+00,10.702,0.021,52.6,2.969E+00,8.606,0.036,30.3,5.049E+00,3.137,0.041,26.4,2.653E+01,2,0,0.000,0.000,0.000,0.000,-54,33,-127,33,0d0d,1,1103,AAAA,0000,49,49,49,49,18,18,18,18,305544376,0.048,11.190,0.020,10.951,0.018,10.832,0.014,108.525280,262.540937
J202321.45+404621.2,305.8394093,40.7725589,20h23m21.46s,40d46m21.21s,0.0509,0.0498,-0.0043,12.113,0.029,36.9,3.397E+00,12.078,0.026,42.5,1.740E+00,12.053,null,-4.8,1.050E+00,5.070,0.070,15.5,6.329E+00,1,0,0.000,0.000,0.000,0.000,-102,50,-93,51,hDHd,1,7nn3,AAUA,0000,51,51,51,51,0,19,18,19,305544394,0.249,13.119,0.022,12.558,0.023,12.304,0.022,109.069400,101.527418
J202321.01+404603.6,305.8375657,40.7676759,20h23m21.02s,40d46m03.63s,0.0605,0.0602,-0.0076,13.444,0.029,37.0,2.448E+01,13.384,0.035,30.9,1.005E+01,10.925,null,-7.8,1.311E+00,5.582,0.065,16.8,6.404E+00,1,0,0.000,0.000,0.000,0.000,413,139,-10,133,hHHd,1,9nn2,AAUA,0000,40,52,35,52,0,0,11,19,305544441,1.013,15.015,0.039,14.434,0.051,13.958,0.064,109.197563,111.137293
J202303.32+404730.3,305.7638336,40.7917654,20h23m03.32s,40d47m30.36s,0.0574,0.0571,0.0036,13.289,0.027,39.6,5.247E+00,13.924,0.037,29.7,2.237E+00,8.952,null,1.7,1.745E-01,3.893,null,0.2,9.045E-02,1,0,0.000,0.000,0.000,0.000,427,74,-303,75,hHdd,1,4nnn,AAUU,0000,53,53,41,52,1,22,0,22,305544214,0.259,15.581,0.057,14.257,0.043,13.693,0.050,109.868596,295.525626
