designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,r_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
J202258.54+410142.9,305.7439566,41.0286102,20h22m58.55s,41d01m43.00s,0.1070,0.1043,-0.0230,13.968,0.042,26.1,2.779E+00,15.403,0.178,6.1,2.128E+00,12.082,null,-0.8,8.640E-01,8.292,null,-6.4,8.304E-01,1,0,0.000,0.000,0.000,0.000,256,153,-636,155,hHH0,0,1nnn,ABUU,0000,53,53,10,53,0,24,0,24,305542363,0.846,17.513,null,15.301,0.109,14.575,0.115,912.887786,350.366205
J202417.10+403747.9,306.0712527,40.6299918,20h24m17.10s,40d37m47.97s,0.0376,0.0379,0.0057,9.855,0.022,49.2,4.135E+00,9.834,0.020,53.0,4.084E+00,9.158,0.059,18.4,2.242E+00,7.448,0.221,4.9,1.738E+00,1,0,0.000,0.000,0.000,0.000,56,34,-138,32,hhh0,1,992n,AAAB,0000,49,49,50,50,19,19,6,19,305645934,0.149,13.427,0.020,11.341,0.017,10.498,0.015,912.936072,125.791464
J202156.39+404136.2,305.4849689,40.6934133,20h21m56.39s,40d41m36.29s,0.0478,0.0444,0.0084,12.816,0.025,43.0,2.626E+00,12.839,0.026,42.0,1.759E+00,12.066,null,-1.0,8.334E-01,6.382,0.136,8.0,2.654E+00,3,1,0.000,0.000,0.000,0.002,-1,62,-193,62,00Pp,0,nnnn,AAUB,0000,52,52,52,52,0,27,18,28,305443348,0.550,13.710,0.025,13.239,0.026,12.945,0.033,912.988480,250.470896
J202431.51+404427.2,306.1313038,40.7408957,20h24m31.51s,40d44m27.22s,0.1472,0.1253,-0.0549,13.736,0.058,18.8,3.934E+00,13.666,0.063,17.4,2.277E+00,10.512,null,1.3,4.908E-01,5.983,0.129,8.4,1.086E+00,2,1,0.000,0.000,0.000,0.000,null,null,null,null,0000,1,nnnn,AAUB,0000,52,52,53,53,0,20,10,20,305644995,1.522,16.590,0.139,15.499,0.133,14.840,0.145,912.994291,98.446354
J202159.45+405316.8,305.4977171,40.8880155,20h21m59.45s,40d53m16.86s,0.0572,0.0554,-0.0021,12.609,0.026,41.4,2.016E+00,12.532,0.038,28.4,1.060E+00,9.831,0.253,4.3,4.924E-01,5.713,null,1.9,2.029E-01,1,0,0.000,0.000,0.000,0.000,124,55,-183,55,0000,0,110n,AABU,0000,44,44,44,44,14,19,0,19,305441733,0.304,15.371,0.053,13.794,0.035,13.047,0.035,913.216109,295.645687
J202413.36+405634.9,306.0556854,40.9430515,20h24m13.36s,40d56m34.99s,0.1587,0.1932,-0.0488,14.556,0.069,15.7,1.800E+00,15.008,0.112,9.7,1.379E+00,11.436,null,1.8,7.774E-01,8.000,0.423,2.6,8.900E-01,2,1,0.000,0.000,0.000,0.000,null,null,null,null,0000,0,nnnn,ABUC,0000,58,58,16,58,0,22,1,22,305643417,1.584,16.137,0.095,15.128,0.096,14.776,0.122,913.365700,49.517936
J202152.82+404407.9,305.4701040,40.7355417,20h21m52.82s,40d44m07.95s,0.1547,0.1538,-0.0338,14.630,0.065,16.8,4.133E+00,15.452,0.149,7.3,1.348E+00,11.237,null,-1.3,4.935E-01,6.039,0.071,15.2,4.426E+00,1,0,0.000,0.000,0.000,0.000,-76,204,-266,205,00Pd,1,3nn1,ABUA,0000,49,53,10,53,0,26,25,28,305442988,0.844,15.422,0.055,14.734,0.061,14.294,0.092,913.440796,260.332894
J202425.65+404035.7,306.1068906,40.6766060,20h24m25.65s,40d40m35.78s,0.0847,0.0852,-0.0132,14.131,0.038,28.4,1.772E+00,14.326,0.049,22.3,1.364E+00,11.468,null,1.1,1.036E+00,6.405,null,0.4,2.184E-01,2,0,0.000,0.000,0.000,0.000,138,207,-5,193,0000,0,42nn,AAUU,0000,49,50,42,50,1,19,0,19,305645538,0.316,15.762,0.072,14.728,0.062,14.386,0.091,913.723349,113.598600
J202251.17+403200.6,305.7132135,40.5335128,20h22m51.17s,40d32m00.65s,0.0465,0.0450,0.0062,11.684,0.024,45.2,4.333E+00,11.730,0.026,41.1,1.541E+00,12.335,null,-6.2,1.003E+00,8.232,null,-7.9,9.700E-01,1,0,0.000,0.000,0.000,0.000,-4,44,27,44,0h00,1,31nn,AAUU,0000,43,43,43,43,0,17,0,19,305527230,0.240,13.472,null,12.631,0.038,12.259,0.030,913.813903,195.098610
J202432.28+404753.0,306.1345144,40.7980649,20h24m32.28s,40d47m53.03s,0.0874,0.0871,-0.0107,13.747,0.038,28.5,3.706E+00,14.112,0.057,19.1,1.703E+00,10.863,null,-1.1,3.419E-01,7.295,0.153,7.1,1.569E+00,1,0,0.000,0.000,0.000,0.000,468,106,166,109,0000,1,11n1,AAUB,0000,59,59,53,59,0,23,7,24,305644537,0.224,15.868,null,15.345,0.129,14.167,null,913.884749,85.497781
